;temperature;humidity;time
328;20.2;57;2022-05-02 14:41:49.474168
329;20.2;53;2022-05-02 14:41:49.481667
330;20.2;58;2022-05-02 14:42:04.848881
331;20.2;52;2022-05-02 14:42:46.118292
332;20.3;52;2022-05-02 14:44:24.206550
333;20.3;53;2022-05-02 14:44:24.210871
334;20.3;52;2022-05-02 14:47:27.232780
335;20.2;52;2022-05-02 14:52:10.338021
336;20.2;49;2022-05-02 14:52:10.341494
337;20.2;57;2022-05-02 14:55:17.020587
338;20.1;57;2022-05-02 14:56:19.417983
339;20.1;58;2022-05-02 14:57:21.545022
340;20.1;57;2022-05-02 14:58:38.964929
341;20.1;50;2022-05-02 15:04:24.578705
342;20.0;50;2022-05-02 15:11:25.223561
343;20.2;50;2022-05-02 15:13:27.794738
344;20.1;50;2022-05-02 15:17:55.487923
345;20.1;58;2022-05-02 15:19:48.641908
346;20.1;51;2022-05-02 15:20:32.469661
347;19.9;51;2022-05-02 15:26:36.795161
348;19.9;52;2022-05-02 15:32:48.828829
349;20.2;52;2022-05-02 15:34:35.240973
350;20.2;57;2022-05-02 15:34:35.245960
351;20.1;57;2022-05-02 15:36:09.635782
352;20.1;58;2022-05-02 15:36:09.643749
353;20.1;57;2022-05-02 15:42:25.159072
354;20.1;53;2022-05-02 15:43:34.266266
355;20.1;58;2022-05-02 15:52:36.379683
356;20.1;55;2022-05-02 16:01:54.486084
357;20.0;55;2022-05-02 16:02:47.303675
358;20.0;57;2022-05-02 16:02:47.308920
359;20.2;57;2022-05-02 16:06:07.801860
360;20.1;57;2022-05-02 16:10:48.288731
361;20.1;54;2022-05-02 16:10:48.297888
362;20.1;54;2022-05-02 16:12:28.750624
363;20.1;57;2022-05-02 16:14:01.229449
364;20.2;57;2022-05-02 16:14:49.745291
365;20.2;57;2022-05-02 16:15:39.306985
366;20.2;53;2022-05-02 16:17:48.956697
367;20.1;53;2022-05-02 16:23:08.439061
368;20.1;58;2022-05-02 16:23:08.443979
369;20.2;58;2022-05-02 16:26:11.349796
370;20.2;57;2022-05-02 16:26:11.359511
371;20.1;57;2022-05-02 16:27:23.022962
372;20.1;58;2022-05-02 16:27:23.032640
373;20.3;58;2022-05-02 16:30:31.668703
374;20.2;58;2022-05-02 16:30:48.646692
375;20.2;57;2022-05-02 16:30:48.659842
376;20.1;57;2022-05-02 16:32:02.258620
377;20.2;57;2022-05-02 16:34:55.855020
378;20.2;58;2022-05-02 16:34:55.859998
379;20.2;57;2022-05-02 16:36:26.465497
380;20.1;57;2022-05-02 16:40:59.869856
381;20.2;57;2022-05-02 16:48:34.431725
382;20.1;57;2022-05-02 16:50:14.478851
383;20.2;57;2022-05-02 16:51:45.007076
384;20.1;57;2022-05-02 16:55:01.312537
385;20.2;57;2022-05-02 16:55:59.884972
386;20.1;57;2022-05-02 16:59:17.815871
387;20.2;57;2022-05-02 17:02:03.916915
388;20.1;57;2022-05-02 17:08:28.736525
389;20.2;57;2022-05-02 17:14:21.420767
390;20.1;57;2022-05-02 17:17:35.662237
391;20.2;57;2022-05-02 17:20:31.177965
392;20.1;57;2022-05-02 17:23:36.123720
393;20.2;57;2022-05-02 17:24:46.068944
394;20.2;54;2022-05-02 17:45:44.684753
395;20.1;54;2022-05-02 17:52:03.706810
396;20.2;54;2022-05-02 17:53:28.805188
397;20.2;54;2022-05-02 17:59:19.591983
398;20.1;54;2022-05-02 18:02:26.469723
399;20.1;54;2022-05-02 18:04:12.253794
400;20.1;55;2022-05-02 18:04:12.265154
401;20.2;55;2022-05-02 18:13:09.669228
402;20.2;58;2022-05-02 18:14:34.661937
403;20.3;58;2022-05-02 18:16:24.114088
404;20.3;59;2022-05-02 18:17:39.604032
405;20.4;59;2022-05-02 18:19:07.141777
406;20.4;56;2022-05-02 18:19:07.149673
407;20.4;56;2022-05-02 18:19:55.467486
408;20.4;72;2022-05-02 18:19:55.474772
409;20.7;72;2022-05-02 18:22:45.359981
410;20.7;76;2022-05-02 18:22:45.386290
411;20.6;76;2022-05-02 18:23:27.580878
412;20.6;57;2022-05-02 18:23:27.653971
413;20.8;57;2022-05-02 18:24:46.191661
414;20.8;77;2022-05-02 18:24:46.197899
415;20.8;58;2022-05-02 18:24:50.703761
416;20.9;58;2022-05-02 18:25:55.941694
417;20.9;79;2022-05-02 18:25:55.958180
418;20.7;79;2022-05-02 18:26:17.427860
419;21.2;79;2022-05-02 18:28:59.015913
420;21.2;84;2022-05-02 18:28:59.022854
421;20.8;84;2022-05-02 18:29:22.197641
422;20.8;59;2022-05-02 18:29:22.205813
423;20.8;69;2022-05-02 18:29:59.954869
424;20.8;59;2022-05-02 18:31:14.836758
425;21.0;59;2022-05-02 18:32:45.427985
426;21.0;56;2022-05-02 18:32:45.448393
427;20.6;56;2022-05-02 18:34:21.581391
428;20.6;54;2022-05-02 18:34:21.587610
429;21.0;54;2022-05-02 18:34:37.254534
430;21.0;77;2022-05-02 18:34:37.266644
431;20.4;77;2022-05-02 18:35:37.061895
432;21.1;77;2022-05-02 18:36:26.724046
433;21.1;79;2022-05-02 18:36:26.733929
434;20.2;79;2022-05-02 18:37:09.554939
435;20.2;55;2022-05-02 18:37:09.615574
436;20.1;55;2022-05-02 18:38:49.403785
437;20.1;57;2022-05-02 18:38:49.471274
438;20.0;57;2022-05-02 18:40:10.569251
439;20.0;58;2022-05-02 18:40:10.573995
440;19.8;58;2022-05-02 18:41:39.245441
441;19.8;54;2022-05-02 18:41:39.252976
442;19.7;54;2022-05-02 18:43:13.584654
443;19.7;52;2022-05-02 18:43:13.598420
444;21.4;52;2022-05-02 18:44:03.230254
445;21.4;76;2022-05-02 18:44:03.236630
446;19.6;76;2022-05-02 18:44:36.640615
447;19.6;53;2022-05-02 18:44:36.648039
448;19.6;72;2022-05-02 18:45:30.078546
449;19.5;72;2022-05-02 18:47:39.704702
450;19.5;56;2022-05-02 18:47:39.709691
451;19.4;56;2022-05-02 18:49:13.926490
452;19.4;54;2022-05-02 18:50:42.597630
453;19.3;54;2022-05-02 18:52:15.064738
454;19.3;51;2022-05-02 18:52:15.074115
455;21.1;51;2022-05-02 18:52:44.168780
456;21.1;62;2022-05-02 18:52:44.182351
457;19.1;62;2022-05-02 18:53:49.473697
458;19.1;53;2022-05-02 18:53:49.479806
459;18.9;53;2022-05-02 18:56:48.877923
460;18.9;52;2022-05-02 18:56:48.883610
461;20.9;52;2022-05-02 18:57:13.787893
462;20.9;59;2022-05-02 18:57:13.796667
463;18.8;59;2022-05-02 18:59:57.504768
464;20.8;59;2022-05-02 19:00:11.255737
465;20.7;59;2022-05-02 19:01:53.323692
